DMACode,DMA,LongDMA,NielsenDMA
529,"Louisville, KY","Louisville, KY",LOUISVILLE
530,"Tallahassee, FL","Tallahassee-Thomasville, FL-GA",TALLAHASSEE-THOMASVILLE
531,"Tri-Cities, TN","Tri-Cities, TN-VA","TRI-CITIES, TN-VA"
532,"Albany, NY","Albany-Schenectady-Troy, NY",ALBANY-SCHENECTADY-TROY
533,"Hartford, CT","Hartford-New Haven, CT",HARTFORD & NEW HAVEN
534,"Orlando, FL","Orlando-Daytona Beach-Melbourne, FL",ORLANDO-DAYTONA BEACH-MELBOURNE
535,"Columbus, OH","Columbus, OH",COLUMBUS
536,"Youngstown, OH","Youngstown, OH",YOUNGSTOWN
537,"Bangor, ME","Bangor, ME",BANGOR
538,"Rochester, NY","Rochester, NY",ROCHESTER
539,"Tampa, FL","Tampa-St. Petersburg-Sarasota, FL",TAMPA-ST. PETERSBURG (SARASOTA)
540,"Traverse City, MI","Traverse City-Cadillac, MI",TRAVERSE CITY-CADILLAC
541,"Lexington, KY","Lexington, KY",LEXINGTON
542,"Dayton, OH","Dayton, OH",DAYTON
543,"Springfield, MA","Springfield-Holyoke, MA",SPRINGFIELD-HOLYOKE
544,"Norfolk, VA","Norfolk-Portsmouth-Newport News, VA",NORFOLK-PORTSMOUTH-NEWPORT NEWS
545,"Greenville, NC","Greenville-New Bern-Washington, NC",GREENVILLE-NEW BERN-WASHINGTON
546,"Columbia, SC","Columbia, SC",COLUMBIA
547,"Toledo, OH","Toledo, OH",TOLEDO
548,"West Palm Beach, FL","West Palm Beach-Ft. Pierce, FL",WEST PALM BEACH-FT. PIERCE
549,"Watertown, NY","Watertown, NY",WATERTOWN
550,"Wilmington, NC","Wilmington, NC",WILMINGTON
551,"Lansing, MI","Lansing, MI",LANSING
552,"Presque Isle, ME","Presque Isle, ME",PRESQUE ISLE
553,"Marquette, MI","Marquette, MI",MARQUETTE
554,"Wheeling, WV","Wheeling-Steubenville, WV-OH",WHEELING-STEUBENVILLE
555,"Syracuse, NY","Syracuse, NY",SYRACUSE
556,"Richmond, VA","Richmond-Petersburg, VA",RICHMOND-PETERSBURG
557,"Knoxville, TN","Knoxville, TN",KNOXVILLE
558,"Lima, OH","Lima, OH",LIMA
559,"Bluefield, WV","Bluefield-Beckley-Oak Hill, WV",BLUEFIELD-BECKLEY-OAK HILL
560,"Raleigh, NC","Raleigh-Durham-Fayetteville, NC",RALEIGH-DURHAM (FAYETTEVILLE)
561,"Jacksonville, FL","Jacksonville, FL",JACKSONVILLE
563,"Grand Rapids, MI","Grand Rapids-Kalamazoo-Battle Creek, MI",GRAND RAPIDS-KALAMAZOO-BATTLE CREEK
564,"Charleston, WV","Charleston-Huntington, WV",CHARLESTON-HUNTINGTON
565,"Elmira, NY","Elmira-Corning, NY",ELMIRA (CORNING)
566,"Harrisburg, PA","Harrisburg-Lancaster-Lebanon-York, PA",HARRISBURG-LANCASTER-LEBANON-YORK
567,"Greenville, SC","Greenville-Spartanburg-Asheville-Anderson, SC-NC",GREENVILLE-SPARTANBURG-ASHEVILLE-ANDERSON
569,"Harrisonburg, VA","Harrisonburg, VA",HARRISONBURG
570,"Myrtle Beach, SC","Myrtle Beach-Florence, SC",MYRTLE BEACH-FLORENCE
571,"Ft. Myers, FL","Ft. Myers-Naples, FL",FT. MYERS-NAPLES
573,"Roanoke, VA","Roanoke-Lynchburg, VA",ROANOKE-LYNCHBURG
574,"Johnstown, PA","Johnstown-Altoona-State College, PA",JOHNSTOWN-ALTOONA
575,"Chattanooga, TN","Chattanooga, TN",CHATTANOOGA
576,"Salisbury, MD","Salisbury, MD",SALISBURY
577,"Wilkes Barre, PA","Wilkes Barre-Scranton-Hazleton, PA",WILKES-BARRE-SCRANTON
581,"Terre Haute, IN","Terre Haute, IN",TERRE HAUTE
582,"Lafayette, IN","Lafayette, IN",LAFAYETTE
583,"Alpena, MI","Alpena, MI",ALPENA
584,"Charlottesville, VA","Charlottesville, VA",CHARLOTTESVILLE
588,"South Bend, IN","South Bend-Elkhart, IN",SOUTH BEND-ELKHART
